bili,stage,riskscore,trt
-1.2617550206095798,-0.4564490312771185,1.946179136389636,-1.0810749829835224
-1.0864935049875668,0.027218432587467464,1.6110494390023433,-0.39367582740439333
-1.0906522360838735,0.019333918589809172,1.5832783788116993,-0.3859101994311437
-1.2001548580059147,0.1410511860379687,1.9253188579105531,-0.37106368495072234
-1.1185521144438355,-0.39468691195294164,2.368017338587506,-0.934801658736027
-1.084356421768287,-0.039630185109817924,1.551094851600306,-0.3783144930636041
-1.1786220695676761,-0.03415027152780524,1.5982269494814632,-0.4159001942375935
-1.0918963656534544,0.03168813608784484,1.6190186160779427,-0.38949868432469353
-1.0730972062789959,-0.056920785600651586,1.652849935846657,-0.36253108110145105
-1.0693462359349457,-0.07209379368612419,1.5778245122127774,-0.5079784169285002
-1.095377626065306,-0.08506092341571747,1.7905586000500202,-0.3453113447240231
-1.0898512111773235,-0.034082358533375205,1.5348915212752436,-0.4460997059662337
-1.1960819267795721,-0.02630976372748666,1.649527259359425,-0.4385480405849805
-1.1020846615756483,-0.0493187180303228,1.5683330604548151,-0.3775804022796106
-1.693617705174012,-0.04163549522225249,2.1121064467720023,-0.5629953271938298
-1.1055928857350272,-0.03916843686669941,1.5451492439027634,-0.45318072361181677
-1.0872408493834964,-0.03919707795118176,1.5617065037801807,-0.3775013581523218
