trt,karno,diagtime,age,prior,celltype_large,celltype_smallcell,celltype_squamous
-0.050690721757652615,-0.365541719791754,-0.06430366686596033,0.03808706087042522,-0.0497385143033683,-0.031682374574149026,0.09465759410723104,-0.03743690732461486
0.026186477463007646,-0.31926166888558916,-0.03704028516853316,-0.0333855557571661,0.024791767581694667,0.0021407545425472913,0.08100303574610555,-0.0767887405384129
-0.025969618982943973,-0.1344224307707131,0.07041687513692807,0.03824741385259163,-0.027777870800582232,0.008555794087155478,0.042863737061248325,-0.02478760455902306
-0.05052983755555314,-0.08778716597617608,0.05425030005072151,0.2701841152501371,0.029361132317568553,0.011789773632099576,0.04367251727768745,-0.11322638918844442
-0.035516996851450315,-0.531066888575322,0.02634805050859637,0.007037343431239859,-0.022804553176657735,-0.02341803773918324,0.086222538540082,-0.035926370342350286
-0.04322090656710646,-0.19569190738286685,0.03621432200731044,0.2667796306238582,0.02014799313607575,0.013861071535082781,0.04061719344686344,-0.10344893400275275
-0.025441975042415427,-0.3270691830549243,-0.10774320110494123,0.14085956104008773,0.03404448243126344,-0.0161351142699046,0.03689186369278771,-0.03291912146224454
0.030025852252751686,-0.44822599158142823,0.0012400390019620148,0.166854422889753,-0.01915243087145192,-0.003955579657833123,0.029946094135947444,-0.008719881629138991
0.0887854069891854,-0.2878432992848285,-0.07027841232381274,0.05581729908491376,0.05886801403686749,-0.04614513415806168,-0.013528323633825168,-0.04724527127416814
-0.03614834664000671,-0.024179699476696258,-0.04415544289009806,-0.04397431450809505,-0.025007838492296625,-0.01931475388887448,0.032610545022244884,-0.04324272890614482
0.03125667369024878,-0.6972982853538542,-0.050932331976771064,0.02611560805536807,-0.028741461257607192,-0.04207333367517516,0.037722683631718996,0.02273487697374067
0.015650200331478605,-0.302545706006189,0.010946572161777664,-0.08228419763600378,-0.01681571317544557,-0.02836452053229999,0.0004749690165155877,-0.029510677391969508
0.047582421049932065,-0.6188904551732025,-0.14835854770222368,0.227092025707015,-0.050629085649614824,-0.07413105204635655,0.02983397992375203,0.025208206174302764
-0.04725947806074715,-0.2181262498818369,-0.07652286545681895,0.14150817301786817,-0.0328222318710435,-0.03396400814374532,0.0766996993523772,-0.037517971808453406
