trt,karno,diagtime,age,prior,celltype_large,celltype_smallcell,celltype_squamous
0.05102557568934845,-0.528764117337591,-0.006093552898574668,-0.007706020438178228,-0.022385401349322258,-0.23184601238145836,-0.016743516691832695,-0.37761240667799323
0.056410591762181425,-0.5247575700597861,0.0010349007493936694,-0.049570311425794406,-0.0147571775621148,-0.2255530695834495,-0.048684438359924774,-0.34143149181828947
0.08460432231629468,-0.5293964749872014,-0.005429829207948878,-0.018876725667139316,0.01599880457495396,-0.2282546004639746,-0.0487055033765709,-0.35175463903651294
0.07782129514646631,-0.49890117269228396,-0.01582747254620208,-0.02605754714312458,-0.012896847218328013,-0.22336621252158795,-0.0457792076942415,-0.34416700935197525
0.056585129425772776,-0.5592674776404896,-0.01891509025858099,-0.019044448622774914,-0.016882398113849038,-0.23446033184878812,-0.022054523031277733,-0.39315030982416554
0.09105090465211814,-0.5253690658723869,-0.00718624315205475,-0.02286487842679002,-0.021993988368358357,-0.2349313237836011,-0.05509110084342758,-0.3392161124630429
0.05051259461341334,-0.5115820917144049,-0.0036254168481739046,-0.02621114660614427,0.01867059299145699,-0.22358071662580414,-0.015171991986551952,-0.3666694493116706
0.0517529986276511,-0.5384131337854992,-0.02021742695706955,-0.02623073282522797,0.021934227600561275,-0.23289134633393074,-0.054254052696849187,-0.38235924071704697
0.07230523871414701,-0.5914954660725322,-0.008568100488899317,-0.032579945524051794,-0.001976889135971631,-0.24329869049018135,-0.04638381517487288,-0.41253250334014546
0.05379805221047865,-0.5032762904678791,-0.023857929439169725,-0.051475219909120795,-0.017343335982610883,-0.2274419949403071,-0.01810547329422957,-0.37569573904826437
0.05812417823670141,-0.5214105761202127,-0.009035686118950089,-0.02055199549004002,0.009938977411404116,-0.1945188462349281,-0.044600590772026424,-0.3658095751000068
0.09210773117777771,-0.5291458009459334,-0.021944966426913834,-0.061865910287567834,-0.020895557752398562,-0.23384889417493682,-0.05620458834112806,-0.3806047699611295
0.05713872674498185,-0.5165438968411057,-0.005182043381847427,-0.0245381747158725,0.012117500428114611,-0.19467140708162967,-0.047650793872720636,-0.3677446236414046
0.045800853611353894,-0.5073940220619424,-0.02366580135699808,-0.0106298643324735,-0.018481493777785952,-0.224810432458194,-0.009979951060241677,-0.37022734142374636
