one,two,three,four,five
-0.017022503241910913,-0.10916965405853088,-0.008265991360161404,-0.05451715998700734,-0.12340018895310245
-0.020756898422635055,-0.11434668588425767,-0.014136319451821353,-0.055907254168196745,-0.1267246384642496
-0.03846313731593624,-0.10749726099472083,-0.043253278604441184,-0.016288104858902946,-0.09114869591393003
-0.027253522922158345,-0.11300867685959808,-0.021404999440076605,-0.04634793982682353,-0.12158618969416984
-0.050955087134747536,-0.10635369896218308,0.014629973874198888,-0.049481865265136135,-0.11634599426830378
-0.018808461715284854,-0.09288549873585558,-0.02579763224254963,-0.05382260243660223,-0.10017103778741496
-0.023813105688648133,-0.10235281643672876,-0.01672406444951819,-0.05684531219269224,-0.12243210948978855
-0.027855007642751298,-0.06558900117531506,0.0008301173030453296,0.034334757071425165,-0.09859948160483974
-0.035376364674835466,-0.10528538260694748,-0.012330995499168551,-0.0341026652220946,-0.09790459836879327
0.033743014969957116,-0.05936717592005465,-0.04091950013067541,0.02140920624358436,-0.12849835950505115
0.010947391103167808,-0.03534165682473154,0.03579686865672749,-0.01635570495826891,-0.1106796475877987
0.014765638878447503,-0.06865352799739399,-0.015617349869420696,-0.00176346859473597,-0.12541698269848256
0.0018160535002979808,-0.11558525065991952,-0.024829358394363826,-0.05481759091107828,-0.11383634772141354
-0.026205094741279567,-0.07676314828459567,0.04507433948227604,-0.024496781940319668,-0.11273201768746785
-0.027027467855130924,-0.12316183326440028,-0.08312553047615731,-0.06350052868661406,-0.08910204518899187
0.00022995273404395126,-0.0925421052010857,-0.008930320344463385,-0.03791748219655648,-0.10666386159431968
-0.038973662538825005,-0.11011769151649237,-0.007371679445625011,-0.024852914572123155,-0.11044455178319568
-0.017007174250267508,-0.10428702998767928,-0.02944365592273208,-0.031754529852488764,-0.10374241809568904
-0.0361037932304319,-0.10345530871095272,-0.004848352444348732,-0.02512311784895709,-0.1280288620212309
-0.0010022513493411092,-0.09199272661385097,-0.012062643343553132,-0.040725536060283264,-0.10300137934149198
-0.034172436260722444,-0.1186006129518919,-0.005097439149515222,-0.012763176716497338,-0.15719918503367236
-0.02724556597171409,-0.11191205069425626,-0.05908357163636961,-0.0271346661798478,-0.08712307632660136
-0.019736440913586225,-0.11495225639333398,-0.02464407186474291,-0.0466389789207809,-0.09180634920652962
-0.003321389722674436,-0.07263542558196126,0.0029727471555091554,-0.030568822893091912,-0.06066170272036586
-0.07649585337006115,-0.106731589572654,0.01100742681532211,-0.002441599115853049,-0.09886466440163824
-0.0018722411098113488,-0.07853469186247017,-0.006597892995252412,0.006339693529804783,-0.12431044903124698
-0.07266816847553141,-0.09847903162056562,-0.0030886585908019805,0.017026313885195384,-0.0744281270887422
-0.026898975575639417,-0.10410524675035032,-0.05616675178697226,0.0019660638128564485,-0.11993112887527388
-0.03390068880061723,-0.12171935901833746,-0.034009556056575393,-0.034812202439873395,-0.1258291360420392
-0.00318531878084326,-0.10357254982305804,-0.015419588090313787,-0.031321964625105086,-0.12556264010849602
-0.042345210860168125,-0.12258365458134485,0.015093695336003797,-0.04494929092342748,-0.08645781731514311
-0.012972782380892708,-0.10497822229139787,-0.010794228425218284,-0.035817773212052664,-0.1530205778253977
-0.030677438929540005,-0.10579713071657387,-0.012662860912327064,-0.022345063302218623,-0.1021238797462388
-0.020134997748990784,-0.10927340310761956,-0.035696035870477566,-0.06352151614480761,-0.07619458415404444
